ACCIDENT_NO,SURFACE_COND,SURFACE_COND_DESC,SURFACE_COND_SEQ
T20140000893,1,Dry,1
T20140000930,1,Dry,1
T20140000932,1,Dry,1
T20140000961,1,Dry,1
T20140000978,1,Dry,1
T20140000980,1,Dry,0
T20140000982,1,Dry,1
T20140000984,1,Dry,1
T20140000986,1,Dry,1
T20140001006,1,Dry,1
T20140001032,1,Dry,1
T20140001034,1,Dry,1
T20140001053,1,Dry,1
T20140001062,1,Dry,1
T20140001079,1,Dry,1
T20140001146,1,Dry,1
T20140001154,1,Dry,1
T20140001164,1,Dry,1
T20140001166,1,Dry,1
T20140001177,1,Dry,1
T20140001198,1,Dry,1
T20140001201,1,Dry,1
T20140001267,1,Dry,1
T20140001284,1,Dry,1
T20140001286,1,Dry,1
T20140001314,1,Dry,1
T20140001340,1,Dry,1
T20140001345,1,Dry,1
T20140001347,1,Dry,1
T20140001352,1,Dry,1
T20140001361,1,Dry,1
T20140001363,1,Dry,1
T20140001390,1,Dry,1
T20140001396,1,Dry,1
T20140001405,1,Dry,1
T20140001420,1,Dry,1
T20140001432,9,Unk.,1
T20140001449,1,Dry,1
T20140001451,9,Unk.,1
T20140001462,9,Unk.,1
T20140001472,1,Dry,1
T20140001473,1,Dry,1
T20140001475,1,Dry,1
T20140001479,1,Dry,1
T20140001483,1,Dry,1
T20140001489,1,Dry,1
T20140001496,1,Dry,1
T20140001500,1,Dry,1
T20140001522,1,Dry,1
T20140001524,1,Dry,1
T20140001549,2,Wet,1
T20140001578,1,Dry,1
T20140001585,1,Dry,1
T20140001600,1,Dry,1
T20140001604,1,Dry,1
T20140001618,1,Dry,1
T20140001632,1,Dry,1
T20140001638,1,Dry,1
T20140001644,1,Dry,1
T20140001647,1,Dry,1
T20140001662,1,Dry,1
T20140001677,1,Dry,1
T20140001684,1,Dry,1
T20140001703,1,Dry,1
T20140001713,1,Dry,1
T20140001715,1,Dry,0
T20140001736,1,Dry,1
T20140001751,1,Dry,1
T20140001758,1,Dry,1
T20140001781,1,Dry,1
T20140001796,1,Dry,1
T20140001809,1,Dry,1
T20140001822,1,Dry,1
T20140001851,1,Dry,1
T20140001853,1,Dry,1
T20140001861,1,Dry,1
T20140001863,1,Dry,1
T20140001895,1,Dry,1
T20140001903,1,Dry,1
T20140001916,1,Dry,1
T20140001930,1,Dry,1
T20140001940,1,Dry,1
T20140001942,1,Dry,1
T20140001963,1,Dry,1
T20140001965,1,Dry,1
T20140001977,1,Dry,1
T20140001979,1,Dry,1
T20140001985,1,Dry,1
T20140002001,1,Dry,1
T20140002003,1,Dry,1
T20140002048,1,Dry,1
T20140002083,1,Dry,1
T20140002098,1,Dry,1
T20140002103,1,Dry,1
T20140002125,1,Dry,1
T20140002133,1,Dry,1
T20140002135,1,Dry,1
T20140002154,1,Dry,1
T20140002156,1,Dry,1
T20140002169,1,Dry,1
T20140002196,1,Dry,1
T20140002216,1,Dry,1
T20140002226,1,Dry,1
T20140002242,1,Dry,1
T20140002257,9,Unk.,1
T20140002270,1,Dry,1
T20120013865,9,Unk.,1
T20120013883,1,Dry,1
T20120013894,1,Dry,1
T20120013911,1,Dry,1
T20120013918,1,Dry,1
T20120013928,1,Dry,1
T20120013943,1,Dry,1
T20120013948,2,Wet,1
T20120013957,1,Dry,1
T20120013967,1,Dry,1
T20120013998,1,Dry,1
T20120014019,1,Dry,1
T20120014029,1,Dry,1
T20120014039,1,Dry,1
T20120014046,2,Wet,1
T20120014076,1,Dry,1
T20120014110,2,Wet,1
T20120014115,1,Dry,1
T20120014133,2,Wet,1
T20120014138,2,Wet,1
T20120014153,1,Dry,1
T20120014167,2,Wet,1
T20120014183,9,Unk.,1
T20120014196,1,Dry,1
